計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","王志宏","國立交通大學","國立交通大學生物科技學系（所）","探討腎素-血管縮收素系統機制與代謝症候群 (Metabolic Syndrome)的關聯性","2013/08/01~2016/07/31","5820000"
"102","Hossein","國立臺灣科技大學","國立臺灣科技大學醫學工程研究所","設計和模仿硬組織/器官之3D 互穿式網路水膠工程","2013/08/01~2014/07/31","836000"
"102","JS GARDNER","國立臺灣科技大學","財團法人國家同步輻射研究中心研究組","以中子及X光研究先進材料之低溫物性測量","2013/05/01~2016/04/30","24644000"
"102","丁吉","長榮大學","長榮大學航運管理學系","高雄港服務效能評估模式之建構與實證分析","2013/08/01~2014/07/31","546000"
"102","丁尚武","國立中山大學","國立中山大學化學系（所）","利用核磁共振光譜與微影像研究Nafion中的跨尺度關聯","2013/08/01~2014/07/31","1800000"
"102","丁望賢","國立中央大學","國立中央大學化學系","無射源型離子遷移光譜系統研究","2013/01/01~2013/12/31","707000"
"102","丁大清","國立中央大學","佛教慈濟醫療財團法人花蓮慈濟醫院婦產部","人類臍帶間質幹細胞供養之人類胚幹細胞形成之類外胚層幹細胞不生成腫瘤之機制與應用研究","2013/08/01~2014/07/31","1160000"
"102","丁振聲","國立虎尾科技大學","國立虎尾科技大學電機工程系","應用平方項總和方法於永磁式線性同步馬達之無感測控制系統設計","2013/08/01~2014/07/31","541000"
"102","丁振卿","國立臺北科技大學","國立臺北科技大學機械工程系","地面機械綠能擷取與發電技術開發(2/2)","2013/02/01~2014/01/31","1003000"
"102","丁樹範","國立政治大學","國立政治大學國際關係研究中心","信心建立措施在清朝的實踐：以尼布楚條約為例","2013/08/01~2014/07/31","446000"
"102","丁南宏","國立政治大學","財團法人國家實驗研究院台灣颱風洪水研究中心","大氣科學共用資料服務平台--大氣研究資料庫計畫(102年)","2013/08/01~2014/07/31","985000"
"102","丁慧如","國立臺南大學","國立臺南大學生物科技學系（所）","維生素D調節的microRNA在控制前列腺癌進展的角色探究.","2013/02/01~2014/01/31","1040000"
"102","丁照棣","國立臺灣大學","國立臺灣大學生命科學系","果蠅孤雌生殖的遺傳基礎(1/2)","2013/10/01~2014/09/30","550000"
"102","丁照棣","國立臺灣大學","國立臺灣大學生命科學系","黃果蠅行為小種遺傳差異研究","2013/08/01~2016/07/31","3750000"
"102","丁詩同","國立臺灣大學","國立臺灣大學動物科學技術學系暨研究所","利用DHA和Betaine預防蛋雞的脂肪肝以促進產蛋效能(2/3)","2013/08/01~2014/07/31","2100000"
"102","丁詩同","國立臺灣大學","國立臺灣大學動物科學技術學系暨研究所","營養分藉由叉頭轉錄因子調控豬隻脂肪代謝與發炎反應的機制","2013/08/01~2016/07/31","5063000"
"102","丁慶華","國立嘉義大學","國立嘉義大學機械與能源工程學系","豆腐製造的品質模型預測控制","2013/08/01~2014/07/31","794000"
"102","丁學勤","國立臺南大學","國立臺南大學教育學系（所）","感恩研究的回顧與發展","2013/08/01~2014/07/31","490000"
"102","丁承","國立交通大學","國立交通大學經營管理研究所","將共同方法變異納入考量之量表開發更新典範","2013/08/01~2014/07/31","893000"
"102","丁肇隆","國立臺灣大學","國立臺灣大學工程科學及海洋工程學系暨研究所","波浪通過潛堤:堤高對諧和波生成之影響","2013/08/01~2016/07/31","1833000"
"102","丁宗蘇","國立臺灣大學","國立臺灣大學森林環境暨資源學系暨研究所","復育造林與森林脊椎動物之互動關係(II)","2013/08/01~2014/07/31","1294000"
"102","丁亮","國立臺灣大學","國立臺灣大學中國文學系暨研究所","釋德清老子道德經憨山解之詮釋模式研究","2013/08/01~2014/07/31","299000"
"102","丁德榮","國立彰化師範大學","國立彰化師範大學資訊工程學系","混合傳輸速率分波多工網路上虛擬拓樸重新調整問題","2013/08/01~2014/07/31","636000"
"102","丁秀儀","國立高雄第一科技大學","國立高雄第一科技大學金融系","銀行家權力之影響、決定因素、及其與監督之關係","2013/08/01~2014/07/31","692000"
"102","丁秀玉","嘉南藥理科技大學","嘉南藥理科技大學化妝品科技研究所","葫蘆科植物有效成分及其作用機轉之研究","2013/08/01~2014/07/31","950000"
"102","丁仁","國立臺灣師範大學","國立臺灣師範大學英語學系（所）","語碼轉換的構詞句法機制：一個理論與實證的分析, 特以漢英語碼轉換為例","2013/08/01~2015/07/31","1453000"
"102","丁仁傑","國立臺灣師範大學","中央研究院民族學研究所","台灣鄉村領導權威變遷的社會學類型分析︰保安村的例子","2013/08/01~2014/07/31","649000"
"102","丁志明","國立成功大學","國立成功大學材料科學及工程學系（所）","奈米碳纖維強化高分子複合材料及其在結構與導電之應用(3/3)","2013/04/01~2014/03/31","3814000"
"102","丁鏞","中原大學","中原大學機械工程學系","平板輸送專用型六軸機械手臂之開發","2013/11/01~2014/10/31","700000"
"102","丁信智","中山醫學大學","中山醫學大學口腔科學研究所","骨形成性複合材的理化性質、細胞分子機制及動物試驗研究","2013/08/01~2016/07/31","2861000"
"102","丁信文","國立高雄應用科技大學","國立高雄應用科技大學電子工程系","整合佈局優化與晶片溫度效應之類比積體電路可測試性導向設計研究(II)","2013/08/01~2014/07/31","658000"
"102","丁雪茵","國立新竹教育大學","國立新竹教育大學幼兒教育學系","運用網路科技推廣性別平等教育之研究(GM04,GM05)","2013/08/01~2014/07/31","558000"
"102","丁姵元","中原大學","中原大學企業管理學系","探討商業設計倫理在產學界推行障礙與需求之研究(I)","2013/08/01~2014/07/31","389000"
"102","丁建均","國立臺灣大學","國立臺灣大學電信工程學研究所","基於先進編碼和預測技術的高效率影像壓縮技術","2013/08/01~2015/07/31","1799000"
"102","丁建文","國立高雄應用科技大學","國立高雄應用科技大學資訊管理系","跨平台混合式行動應用程式之效能最佳化研究","2013/08/01~2014/07/31","557000"
"102","丘周剛","國立臺中教育大學","國立臺中教育大學事業經營碩士學位學程","探索知覺價值、其前因變項與干擾變數","2013/08/01~2014/07/31","466000"
